Название вакансии,название компании,зарплата,ссылка на вакансию
Инженер-программист 1С,ОАО Томский Электротехнический Завод,,https://tomsk.hh.ru/vacancy/104203150?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Fullstack-разработчик,Элекард,60 000 – 130 000 ₽ на руки,https://tomsk.hh.ru/vacancy/105783536?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Стажер backend-разработчик,ООО Спутник,,https://tomsk.hh.ru/vacancy/97606409?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend Developer,VR DEV,,https://tomsk.hh.ru/vacancy/104404932?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Начинающий программист 1С,СибГМУ,от 40 000 ₽ на руки,https://tomsk.hh.ru/vacancy/105787964?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик сайтов,"Компания Водяной,ООО",до 100 000 ₽ на руки,https://tomsk.hh.ru/vacancy/105768940?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист встраиваемых систем,Алабуга. Проектный менеджмент,240 000 – 450 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/104205711?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle PHP fullstack разработчик,BlaBlaCar,,https://tomsk.hh.ru/vacancy/105042161?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Стажер frontend-разработчик,ООО Спутник,,https://tomsk.hh.ru/vacancy/100041491?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
FullStack разработчик на поддержку веб-проектов,Userstory,от 80 000 ₽ на руки,https://tomsk.hh.ru/vacancy/104890459?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior Fronted-разработчик (Офис Томск),ООО Школа цифровых технологий,,https://tomsk.hh.ru/vacancy/105784439?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик полного цикла электронных устройств,ООО Школа цифровых технологий,,https://tomsk.hh.ru/vacancy/105783483?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
